target,cohort,rhyme,ur,time
0.640196172742857,-0.115886250371111,-0.0773692836360318,-0.17670662507328,1259
0.639380952380952,-0.117739229838836,-0.0775911620821693,-0.176473595526349,1275
0.638740740740741,-0.119343086012751,-0.077803345735254,-0.176308541976825,1291
0.638042328042328,-0.12085039076709,-0.0780563711658307,-0.176083880375291,1307
0.63694708994709,-0.122304806918783,-0.0783465491049524,-0.175937359589683,1323
0.635968253968254,-0.123651721291481,-0.0784980324756614,-0.175737619047302,1339
0.634984126984127,-0.124814300489206,-0.0786151420140212,-0.175541333212698,1355
0.633973544973545,-0.125900916451005,-0.078771806957672,-0.175287238966138,1371
0.633,-0.126896104403915,-0.0788242048698413,-0.175109073417249,1387
0.631957671957672,-0.127943189986772,-0.0788949572502963,-0.174840951354868,1403
0.630915343915344,-0.128878927946402,-0.0790047115162381,-0.174485453972751,1419
0.629708994708995,-0.129635252604603,-0.078998209454709,-0.174291679425397,1435
0.628634920634921,-0.130404458006773,-0.0790608595967884,-0.174033920398995,1451
0.627269841269841,-0.131033741790148,-0.0792053638009524,-0.173735747167513,1467
0.626201058201058,-0.131535992657672,-0.0792145405613228,-0.173445957145556,1483
0.624904761904762,-0.132070733788095,-0.0792095699621545,-0.173099066331418,1499
0.623613756613757,-0.132647320692852,-0.0791632873925926,-0.172739876407407,1515
0.622302805717311,-0.132957132163314,-0.079091784710487,-0.172482019669137,1531
0.62078348332451,-0.133321609815617,-0.0791398505432398,-0.172092506330228,1547
0.619555320275278,-0.133819015267787,-0.0791331875681313,-0.171793881697194,1563
0.618205399682372,-0.134184078618687,-0.0791188916791848,-0.171472180845156,1579
0.616876654314452,-0.134472406466596,-0.0790395133851244,-0.171131986087771,1595
0.615494970884066,-0.134681251245336,-0.0788808603357332,-0.170801004844362,1611
0.614092112228692,-0.135023788064902,-0.0787926658340921,-0.17051080343856,1627
0.612789835892006,-0.13515839607586,-0.0786301045714135,-0.170186935026416,1643
0.61147167813658,-0.135330088071943,-0.0786014984243515,-0.169932462760773,1659
0.609941768131287,-0.135433662374854,-0.0785392152764426,-0.169634102454429,1675
0.60854420328216,-0.135652821490736,-0.0785835877525146,-0.169288463304553,1691
0.607289571201694,-0.135730293401271,-0.0785811416443092,-0.169022412811382,1707
0.605510852302806,-0.135840301670037,-0.0784206833785177,-0.168696961412599,1723
0.604160931709899,-0.135869877025463,-0.0783338916006406,-0.168321422303282,1739
0.602683959767073,-0.136015695707729,-0.0782177557839598,-0.167874138247941,1755
0.601228163049233,-0.136007943238221,-0.0781763802277925,-0.16761844901747,1771
0.599798835362626,-0.135916726293012,-0.0781181157265749,-0.167395420554526,1787
