cycle	parti	parS^l	part	park	pik	
99	0.7219139992343739	-0.01	-0.01	-0.01	-0.01	
100	0.720688331983908	-0.01	-0.01	-0.01	-0.01	
101	0.7194489364796949	-0.01	-0.01	-0.01	-0.01	
102	0.7182369595019398	-0.01	-0.01	-0.01	-0.01	
103	0.7170423752554802	-0.01	-0.01	-0.01	-0.01	
104	0.7158566182963788	-0.01	-0.01	-0.01	-0.01	
105	0.7146725894714046	-0.01	-0.01	-0.01	-0.01	
106	0.7135071231509001	-0.01	-0.01	-0.01	-0.01	
107	0.7123817770952763	-0.01	-0.01	-0.01	-0.01	
108	0.7112812484821214	-0.01	-0.01	-0.01	-0.01	
109	0.710193628670955	-0.01	-0.01	-0.01	-0.01	
110	0.7091096480746893	-0.01	-0.01	-0.01	-0.01	
111	0.7080221312747482	-0.01	-0.01	-0.01	-0.01	
112	0.706925570551925	-0.01	-0.01	-0.01	-0.01	
113	0.7058157811433748	-0.01	-0.01	-0.01	-0.01	
114	0.7046896327312645	-0.01	-0.01	-0.01	-0.01	
115	0.7035448893239294	-0.01	-0.01	-0.01	-0.01	
116	0.7023799201509632	-0.01	-0.01	-0.01	-0.01	
117	0.7011936174377272	-0.01	-0.01	-0.01	-0.01	
118	0.6999854545738301	-0.01	-0.01	-0.01	-0.01	
119	0.6987552366592306	-0.01	-0.01	-0.01	-0.01	
120	0.697502931739033	-0.01	-0.01	-0.01	-0.01	
121	0.6962287010407274	-0.01	-0.01	-0.01	-0.01	
122	0.6949327428435552	-0.01	-0.01	-0.01	-0.01	
123	0.6936152766514385	-0.01	-0.01	-0.01	-0.01	
124	0.6922765310466331	-0.01	-0.01	-0.01	-0.01	
125	0.6909167344516224	-0.01	-0.01	-0.01	-0.01	
126	0.6895361081838148	-0.01	-0.01	-0.01	-0.01	
127	0.6881348613129248	-0.01	-0.01	-0.01	-0.01	
128	0.6867131869309114	-0.01	-0.01	-0.01	-0.01	
129	0.6852712595241524	-0.01	-0.01	-0.01	-0.01	
130	0.6838092332012079	-0.01	-0.01	-0.01	-0.01	
131	0.6823272405803523	-0.01	-0.01	-0.01	-0.01	
132	0.6808253921815929	-0.01	-0.01	-0.01	-0.01	
133	0.6793037762002506	-0.01	-0.01	-0.01	-0.01	
134	0.6777627068713445	-0.01	-0.01	-0.01	-0.01	
135	0.6762028289982903	-0.01	-0.01	-0.01	-0.01	
136	0.6746247835862527	-0.01	-0.01	-0.01	-0.01	
137	0.6730290396801162	-0.01	-0.01	-0.01	-0.01	
138	0.6714159258691322	-0.01	-0.01	-0.01	-0.01	
139	0.6697856558782461	-0.01	-0.01	-0.01	-0.01	
140	0.6681383493548868	-0.01	-0.01	-0.01	-0.01	
141	0.6664740487497806	-0.01	-0.01	-0.01	-0.01	
142	0.6647927420106808	-0.01	-0.01	-0.01	-0.01	
143	0.6630943662781159	-0.01	-0.01	-0.01	-0.01	
144	0.6613788130499191	-0.01	-0.01	-0.01	-0.01	
145	0.6596459358982295	-0.01	-0.01	-0.01	-0.01	
146	0.6578955567119995	-0.01	-0.01	-0.01	-0.01	
147	0.6561274707362005	-0.01	-0.01	-0.01	-0.01	
148	0.654341450628413	-0.01	-0.01	-0.01	-0.01	
149	0.6525372497124584	-0.01	-0.01	-0.01	-0.01	
150	0.6507146045753787	-0.01	-0.01	-0.01	-0.01	
151	0.6488732371269459	-0.01	-0.01	-0.01	-0.01	
152	0.6470128644256377	-0.01	-0.01	-0.01	-0.01	
153	0.645133414166281	-0.01	-0.01	-0.01	-0.01	
154	0.6432354279764158	-0.01	-0.01	-0.01	-0.01	
155	0.6413193027717204	-0.01	-0.01	-0.01	-0.01	
156	0.639385313399798	-0.01	-0.01	-0.01	-0.01	
157	0.6374336314240423	-0.01	-0.01	-0.01	-0.01	
158	0.6354643407091908	-0.01	-0.01	-0.01	-0.01	
159	0.6334774503539291	-0.01	-0.01	-0.01	-0.01	
160	0.6314729144134611	-0.01	-0.01	-0.01	-0.01	
161	0.6294506337708686	-0.01	-0.01	-0.01	-0.01	
162	0.627410485827533	-0.01	-0.01	-0.01	-0.01	
163	0.6253523024044814	-0.01	-0.01	-0.01	-0.01	
164	0.6232758960383293	-0.01	-0.01	-0.01	-0.01	
165	0.6211810453643236	-0.01	-0.01	-0.01	-0.01	
166	0.6190677490875595	-0.01	-0.01	-0.01	-0.01	
167	0.616936007802305	-0.01	-0.01	-0.01	-0.01	
168	0.6148202565445011	-0.01	-0.01	-0.01	-0.01	
169	0.6127198909782026	-0.01	-0.01	-0.01	-0.01	
170	0.6106287650096585	-0.01	-0.01	-0.01	-0.01	
171	0.6085415805662184	-0.01	-0.01	-0.01	-0.01	
172	0.6064537521388104	-0.01	-0.01	-0.01	-0.01	
173	0.6043612985600405	-0.01	-0.01	-0.01	-0.01	
174	0.602260751107784	-0.01	-0.01	-0.01	-0.01	
175	0.6001491003185848	-0.01	-0.01	-0.01	-0.01	
176	0.5980237714558517	-0.01	-0.01	-0.01	-0.01	
177	0.595882507342199	-0.01	-0.01	-0.01	-0.01	
178	0.5937233179288766	-0.01	-0.01	-0.01	-0.01	
179	0.5915444375645023	-0.01	-0.01	-0.01	-0.01	

